# 【理財達人秀】川普喊降息 台股大贏家？大立光跌停 封測.被動高換低？聯發科帶頭 有底部起漲股！2026.09.07
# 理財達人秀 EBCmoneyshow 20260907 https://youtu.be/baoJt33Pky0 method=whisper-small

[00:05] 歡迎收看《最佛心幽默》的財經節目《理財達人秀》
[00:10] 我是李肇華
[00:11] 今天台股只差800多點哦
[00:14] 就要去直攻歷史新高
[00:17] 大家看到排面上星星相容哦
[00:19] 到底發生什麼事情了呢
[00:21] 原因就在禮拜五的時候
[00:23] 美國的非農就業人數出來了
[00:26] 明明就是遠遠高於市場預期啊
[00:29] 糟糕了這樣不是應該要升息了嗎
[00:32] 要牙鼓票了嗎
[00:33] 但是川普又出來喊話
[00:35] 他說非降息不可
[00:37] 美國最好是全世界利率最低的國家
[00:40] 這番話也蠻激勵廢辦往上走
[00:43] 而台股就是一個科技股掛帥的國家哦
[00:47] 所以今天我們繼續往上衝
[00:49] 不過量能略略的小小不足哦
[00:52] 所以大家也在邊走邊觀看
[00:54] 哎難道川普一句話
[00:56] 總金數據可以不管了嗎
[00:58] 還是我們有得天獨厚的一些利機
[01:02] 包括現在八月的營收陸續開出來
[01:04] 其實創新高的加速還是非常多
[01:07] 而且高低位接的輪動
[01:09] 有很多低位接營收棒的股票
[01:12] 在這邊敘事待發
[01:14] 這就是我們的利機
[01:15] 來歡迎今天的三位來賓哦
[01:17] 第一位是股市施工永年老師
[01:19] 好永年老師會來好好地猜解
[01:22] 照來說其實現在九月的升息機率
[01:25] 又拉上去囉
[01:26] 美債值利率也跑上去囉
[01:28] 那科技股在漲什麼呢
[01:30] 美元為什麼弱勢
[01:31] 今天外資大幅買超台股800多億
[01:35] 啊施工心裡面有解答
[01:38] 也要告訴大家
[01:39] 其實從聯發科的帶頭
[01:41] 有一個趨勢
[01:42] 就是我們的全職股快要衝起來了
[01:45] 台積電也在敘事待發
[01:47] 尤其是台一電相關的供應鏈
[01:49] 根本就是一個高營收低位接哦
[01:53] 等一下施工來幫您清點
[01:54] 這樣子的公司哦
[01:55] 很多到底他看中哪幾檔哦
[01:58] 好第二位是我們的冠軍
[02:00] 下盤手雲翔哥
[02:02] 雲翔哥先來關心誰呢
