ticker,research_date,next_platform_score,new_capacity_score,new_product_mix_score,order_visibility_score,tam_score,governance_score,rerating_score,customer_concentration_pct,source_1,source_2,source_3,thesis,risk,notes,ref_name,ref_px,ref_eps_ttm,ref_eps_fy3_proxy,ref_pe_now,ref_pe_p25,ref_pe_p50,ref_pe_p75,ref_score100,ref_tier
2330,,,,,,,,,,,,,,,,台積電,2410.0,86.28,221.5,27.9,16.7,23.4,27.5,81.0,A
8210,,,,,,,,,,,,,,,,勤誠,986.0,38.45,73.45,25.9,12.0,20.9,30.4,79.0,A
6805,,,,,,,,,,,,,,,,富世達,2200.0,46.75,114.19,47.1,44.8,55.3,63.6,71.0,B
2345,,,,,,,,,,,,,,,,智邦,2100.0,63.65,160.55,33.0,25.9,30.1,33.3,70.7,B
2368,,,,,,,,,,,,,,,,金像電,1045.0,28.5,95.07,37.5,15.6,20.3,32.2,70.3,B
6782,,,,,,,,,,,,,,,,視陽,229.5,16.49,26.47,13.9,16.1,23.5,30.7,69,B
2421,,,,,,,,,,,,,,,,建準,178.0,9.62,15.8,19.1,17.0,19.3,22.2,67,B
2360,,,,,,,,,,,,,,,,致茂,2030.0,39.29,76.43,51.8,19.7,24.8,33.8,65.7,B
2383,,,,,,,,,,,,,,,,台光電,5415.0,64.08,339.96,84.7,15.6,21.4,33.3,64.0,WATCH
6531,,,,,,,,,,,,,,,,愛普*,911.0,17.38,34.68,52.5,26.7,34.8,61.1,63.7,WATCH
6139,,,,,,,,,,,,,,,,亞翔,736.0,49.73,97.68,14.8,12.9,16.0,21.9,63.5,WATCH
6442,,,,,,,,,,,,,,,,光聖,1755.0,35.65,69.35,51.9,19.1,42.6,60.4,63.3,WATCH
3665,,,,,,,,,,,,,,,,貿聯-KY,2145.0,54.53,148.41,39.4,14.9,20.6,32.3,62.0,WATCH
1736,,,,,,,,,,,,,,,,喬山,125.5,11.06,15.08,11.3,16.6,27.0,42.7,62,WATCH
3013,,,,,,,,,,,,,,,,晟銘電,88.0,5.43,8.46,16.9,25.7,32.5,46.9,62,WATCH
3617,,,,,,,,,,,,,,,,碩天,248.0,21.01,28.61,11.9,12.0,13.8,15.5,62,WATCH
6183,,,,,,,,,,,,,,,,關貿,91.6,4.51,6.26,20.4,19.7,23.1,24.8,62,WATCH
8462,,,,,,,,,,,,,,,,柏文,165.5,10.62,17.43,15.8,22.8,31.3,52.4,61.5,WATCH
2546,,,,,,,,,,,,,,,,根基,107.5,14.95,25.72,7.2,7.6,8.7,10.6,61.5,WATCH
2059,,,,,,,,,,,,,,,,川湖,13860.0,181.39,365.41,76.4,19.3,27.8,34.4,61.3,WATCH
6206,,,,,,,,,,,,,,,,飛捷,138.5,9.06,13.6,15.3,12.6,15.3,19.0,60,WATCH
1590,,,,,,,,,,,,,,,,亞德客-KY,1395.0,52.04,86.16,26.8,23.8,27.3,31.0,59.5,WATCH
6197,,,,,,,,,,,,,,,,佳必琪,315.0,11.95,19.54,26.6,14.6,17.0,20.9,58,WATCH
2476,,,,,,,,,,,,,,,,鉅祥,121.0,6.23,11.3,19.7,13.3,18.7,22.1,58,WATCH
6525,,,,,,,,,,,,,,,,捷敏-KY,138.0,7.19,11.03,19.2,11.7,13.9,15.5,58,WATCH
6209,,,,,,,,,,,,,,,,今國光,81.5,2.36,4.6,35.3,67.2,84.8,239.1,58,WATCH
3044,,,,,,,,,,,,,,,,健鼎,488.5,23.34,37.91,20.9,10.4,13.1,17.4,57,WATCH
6196,,,,,,,,,,,,,,,,帆宣,516.0,22.32,43.97,23.4,12.1,16.8,20.2,57,WATCH
2472,,,,,,,,,,,,,,,,立隆電,225.0,9.82,16.2,22.9,9.4,12.2,13.6,57,WATCH
6669,,,,,,,,,,,,,,,,緯穎,2565.0,313.51,695.19,8.2,15.1,18.1,21.4,56.7,WATCH
