ticker,bear_eps_3y,bear_pe_3y,base_eps_3y,base_pe_3y,bull_eps_3y,bull_pe_3y,scenario_notes,ref_name,ref_px,ref_eps_ttm,ref_eps_fy3_proxy,ref_pe_now,ref_pe_p25,ref_pe_p50,ref_pe_p75,ref_score100,ref_tier
2330,221.5,16.7,221.5,23.4,221.5,27.5,2029E中位數可得；未找到可驗證2029E高低共識，EPS固定為中位數、PE用歷史P25/P50/P75分情境。,台積電,2410.0,86.28,221.5,27.9,16.7,23.4,27.5,81.0,A
8210,68.77,12.0,73.45,20.9,106.76,30.4,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,勤誠,986.0,38.45,73.45,25.9,12.0,20.9,30.4,79.0,A
6805,112.65,44.8,114.19,55.3,115.72,63.6,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,富世達,2200.0,46.75,114.19,47.1,44.8,55.3,63.6,71.0,B
2345,145.77,25.9,166.21,30.1,205.86,33.3,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,智邦,2100.0,63.65,160.55,33.0,25.9,30.1,33.3,70.7,B
2368,70.9,15.6,95.07,20.3,135.45,32.2,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,金像電,1045.0,28.5,95.07,37.5,15.6,20.3,32.2,70.3,B
6782,21.96,16.1,21.96,23.5,21.96,30.7,T+2 代理：FactSet 2028E僅單一/一致EPS 21.96，PE用歷史P25/P50/P75分情境。,視陽,229.5,16.49,26.47,13.9,16.1,23.5,30.7,69.0,B
2421,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,建準,178.0,9.62,15.8,19.1,17.0,19.3,22.2,67.0,B
2360,73.38,19.7,76.43,24.8,97.47,33.8,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,致茂,2030.0,39.29,76.43,51.8,19.7,24.8,33.8,65.7,B
2383,285.08,15.6,339.96,21.4,488.99,33.3,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,台光電,5415.0,64.08,339.96,84.7,15.6,21.4,33.3,64.0,WATCH
6531,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,愛普*,911.0,17.38,34.68,52.5,26.7,34.8,61.1,63.7,WATCH
6139,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,亞翔,736.0,49.73,97.68,14.8,12.9,16.0,21.9,63.5,WATCH
6442,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,光聖,1755.0,35.65,69.35,51.9,19.1,42.6,60.4,63.3,WATCH
3665,145.75,14.9,148.41,20.6,155.7,32.3,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,貿聯-KY,2145.0,54.53,148.41,39.4,14.9,20.6,32.3,62.0,WATCH
1736,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,喬山,125.5,11.06,15.08,11.3,16.6,27.0,42.7,62.0,WATCH
3013,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,晟銘電,88.0,5.43,8.46,16.9,25.7,32.5,46.9,62.0,WATCH
3617,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,碩天,248.0,21.01,28.61,11.9,12.0,13.8,15.5,62.0,WATCH
6183,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,關貿,91.6,4.51,6.26,20.4,19.7,23.1,24.8,62.0,WATCH
8462,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,柏文,165.5,10.62,17.43,15.8,22.8,31.3,52.4,61.5,WATCH
2546,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,根基,107.5,14.95,25.72,7.2,7.6,8.7,10.6,61.5,WATCH
2059,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,川湖,13860.0,181.39,365.41,76.4,19.3,27.8,34.4,61.3,WATCH
6206,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,飛捷,138.5,9.06,13.6,15.3,12.6,15.3,19.0,60.0,WATCH
1590,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,亞德客-KY,1395.0,52.04,86.16,26.8,23.8,27.3,31.0,59.5,WATCH
6197,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,佳必琪,315.0,11.95,19.54,26.6,14.6,17.0,20.9,58.0,WATCH
2476,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,鉅祥,121.0,6.23,11.3,19.7,13.3,18.7,22.1,58.0,WATCH
6525,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,捷敏-KY,138.0,7.19,11.03,19.2,11.7,13.9,15.5,58.0,WATCH
6209,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,今國光,81.5,2.36,4.6,35.3,67.2,84.8,239.1,58.0,WATCH
3044,47.56,10.4,48.16,13.1,48.76,17.4,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,健鼎,488.5,23.34,37.91,20.9,10.4,13.1,17.4,57.0,WATCH
6196,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,帆宣,516.0,22.32,43.97,23.4,12.1,16.8,20.2,57.0,WATCH
2472,,,,,,,未找到可驗證法人2029E/2028E共識，依規則留空。,立隆電,225.0,9.82,16.2,22.9,9.4,12.2,13.6,57.0,WATCH
6669,549.34,15.1,636.8,18.1,839.23,21.4,T+2 代理：FactSet 2028E low/median/high；未找到可靠2029E共識。,緯穎,2565.0,313.51,695.19,8.2,15.1,18.1,21.4,56.7,WATCH
