ticker,name,held,tier,score100,action_signal,signal_reason,base_upside,reward_risk,eps_rev_1m,eps_rev_3m,pe_pct5y,thesis_status,holding_note
8299,群聯,True,CYCLE,60,WATCH,分數<65、Base<20%、週期高峰,-71.0,0.0,0,117.4,20.0,,持1000股@1990，+1.8%，防守線1850
2059,川湖,False,WATCH,61.3,REDUCE,Base<20% 且 PE 位階≥95%,-27.0,0.0,131.5,199.6,99.0,OK,
6525,捷敏-KY,False,WATCH,58,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,11.0,0.37,63.5,11.1,95.0,OK,
6669,緯穎,False,WATCH,56.7,REDUCE,EPS 1M/3M 同步下修、分數<60,391.0,9.9,-41.3,-19.9,0.0,OK,
3026,禾伸堂,False,WATCH,54.5,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-62.0,0.0,114.6,24.3,96.0,,
2301,光寶科,False,WATCH,54,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-21.0,0.0,76.2,12.9,100.0,,
2455,全新,False,WATCH,54,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-43.0,0.0,238.4,13.0,99.0,,
3017,奇鋐,False,WATCH,53,REDUCE,EPS 1M/3M 同步下修、Base<20% 且 PE 位階≥95%、分數<60,13.0,0.22,-8.7,-24.6,95.0,,
2395,研華,False,WATCH,52,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,18.0,0.82,84.0,43.5,100.0,,
5434,崇越,False,WATCH,52,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,7.0,0.2,27.5,11.0,97.0,,
3653,健策,False,WATCH,51,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-35.0,0.0,55.0,51.7,99.0,,
5284,jpp-KY,False,WATCH,51,REDUCE,EPS 1M/3M 同步下修、分數<60,102.0,9.9,-30.1,-21.7,46.0,,
3406,玉晶光,False,WATCH,48.5,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-32.0,0.0,161.5,-2.6,100.0,,
3443,創意,False,WATCH,48,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-36.0,0.0,54.5,47.9,98.0,,
6672,騰輝電子-KY,False,WATCH,48,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-31.0,0.0,64.4,62.5,98.0,,
2337,旺宏,False,CYCLE,45,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-88.0,0.0,,87.4,97.0,,
2493,揚博,False,WATCH,44,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,-45.0,0.0,208.1,30.3,95.0,,
2374,佳能,False,WATCH,42.5,REDUCE,EPS 1M/3M 同步下修、分數<60,222.0,9.9,-14.0,-25.4,19.0,,
8996,高力,False,WATCH,40,REDUCE,EPS 1M/3M 同步下修、分數<60,23.0,0.7,-85.6,-41.1,88.0,,
1419,新紡,False,WATCH,38,REDUCE,EPS 1M/3M 同步下修、分數<60,607.0,9.9,-232.1,-15.4,1.0,,
2548,華固,False,WATCH,36,REDUCE,EPS 1M/3M 同步下修、分數<60,216.0,9.9,-212.0,-40179.5,21.0,,
2330,台積電,False,A,81.0,HOLD,無證據帳本、量化達 ADD 門檻但缺新鮮證據→先補帳本,102.0,9.9,24.2,19.3,79.0,OK,
8210,勤誠,False,A,79.0,HOLD,無證據帳本,49.0,3.02,-16.0,26.0,60.0,OK,
2345,智邦,False,B,70.7,HOLD,無證據帳本,91.0,9.9,14.4,2.8,73.0,OK,
2368,金像電,False,B,70.3,HOLD,無證據帳本,64.0,8.08,47.5,22.5,85.0,OK,
6782,視陽,False,B,69,HOLD,無證據帳本,171.0,9.9,8.5,16.6,10.0,OK,
2421,建準,False,B,67,HOLD,無證據帳本,71.0,9.9,15.7,8.5,48.0,OK,
