ticker,name,industry,mcap,score60,why,yoy3,accel,rev12m_g,roe,eps_g,gm_now,gm_chg,cap_chg,pe,pe_pct5y,peg,px,vs200,vs_hi2y
3006,晶豪科,半導體,567.48199936,60,營收加速+197pp、EPS+999%、毛利率↑、PEG0.0,474.9,196.8,227.0,43.0,999,40.4,29.8,4.2,8.8,40.0,0.01,278.5,55.7,-4.8
4967,十銓,半導體,253.19059456,58,營收加速+23pp、EPS+2942%、毛利率↑、PEG0.0,82.1,23.1,62.8,33.1,2942.3,29.1,20.0,18.7,4.1,2.0,0.0,276.0,25.9,-6.4
2344,華邦電,半導體,4882.50015744,55,營收加速+105pp、EPS+999%、毛利率↑、PEG0.0,257.0,105.1,131.1,17.9,999,52.0,25.9,7.7,19.2,54.0,0.02,174.0,41.1,-21.6
8210,勤誠,電腦及週邊,1660.47858688,55,營收加速+26pp、EPS+78%、毛利率↑、PEG0.3,58.9,26.0,56.1,19.6,77.6,31.6,3.5,3.9,25.9,60.0,0.33,986.0,-6.6,-35.9
6442,光聖,通信網路,1604.18971648,55,營收加速+21pp、EPS+122%、毛利率↑、PEG0.4,55.6,21.2,30.5,19.1,121.8,59.0,1.8,6.4,51.9,61.0,0.43,1755.0,7.6,-25.3
6782,視陽,生技醫療,142.38000128,54,營收加速+17pp、EPS+48%、毛利率↑、PEG0.3,28.6,16.6,18.1,16.7,47.9,47.0,6.8,0.0,13.9,10.0,0.29,229.5,23.1,-9.8
2330,台積電,半導體,583469.96498432,53,營收加速+19pp、EPS+53%、毛利率↑、PEG0.5、PE位階79%高,47.5,19.3,32.2,26.8,53.2,63.9,5.4,-0.0,27.9,79.0,0.52,2410.0,20.1,-4.0
2059,川湖,電子零組件,4193.06799104,53,營收加速+200pp、EPS+168%、毛利率↑、PEG0.5、PE位階99%高,249.4,199.6,112.8,45.4,168.5,79.0,5.0,0.0,76.4,99.0,0.45,13860.0,147.6,-4.1
1590,亞德客-KY,電機機械,2870.0000256,52,營收加速+18pp、毛利率↑、PEG0.7,46.3,18.4,29.4,17.0,38.6,47.8,2.2,0.0,26.8,47.0,0.69,1395.0,17.8,-12.5
2451,創見,半導體,1302.84535808,52,EPS+1465%、毛利率↑、PEG0.0,321.6,-160.1,320.1,71.4,1465.3,65.1,35.8,0.5,5.0,1.0,0.0,284.5,15.5,-18.5
8271,宇瞻,半導體,311.35410176,52,EPS+1658%、毛利率↑、PEG0.0,180.9,-111.7,178.6,39.3,1657.8,37.4,22.5,0.7,5.4,0.0,0.0,217.0,29.7,-14.7
2316,楠梓電,電子零組件,212.27896832,52,營收加速+18pp、EPS+80%、毛利率↑、PEG0.1,47.1,18.3,30.3,13.5,80.5,2.0,7.6,0.0,10.8,62.0,0.13,155.0,19.5,-33.3
6206,飛捷,電腦及週邊,158.08351232,52,營收加速+13pp、毛利率↑、PEG0.6,36.6,12.6,13.9,19.2,24.5,44.8,1.1,0.0,15.3,50.0,0.62,138.5,27.2,-12.3
2436,偉詮電,半導體,147.63164672,52,EPS+573%、毛利率↑、PEG0.0,31.1,3.7,23.7,17.2,572.9,31.0,0.7,14.7,12.0,1.0,0.02,65.19999694824219,9.6,-16.7
1608,華榮,電器電纜,140.20128768,52,EPS+735%、毛利率↑、PEG0.0,21.3,5.7,12.2,29.5,734.8,11.0,0.9,0.0,3.2,1.0,0.0,36.5,10.7,-4.5
2368,金像電,電子零組件,7224.69650432,51,營收加速+22pp、EPS+119%、毛利率↑、PEG0.3、PE位階85%高,81.0,22.5,69.7,18.1,119.2,34.7,4.9,5.1,37.5,85.0,0.31,1045.0,9.8,-29.6
6446,藥華藥,生技醫療,2431.1005184,51,營收加速+17pp、EPS+62%、毛利率↑,97.6,17.2,73.0,19.6,62.5,90.6,2.5,12.0,64.2,61.0,1.03,1310.0,68.3,-17.4
6139,亞翔,其他電子,1682.60943872,51,EPS+198%、毛利率↑、PEG0.1,71.7,5.3,84.6,16.4,198.1,19.4,5.7,1.3,14.8,44.0,0.07,736.0,14.7,-20.6
2546,根基,建材營造,110.6845184,51,營收加速+27pp、EPS+72%、毛利率↑、PEG0.1,25.1,27.3,32.4,12.3,72.0,11.0,1.5,8.1,7.2,17.0,0.1,107.5,38.2,-7.7
2360,致茂,其他電子,9933.2128768,50,營收加速+34pp、EPS+138%、PEG0.4、PE位階90%高,127.1,34.3,74.1,32.5,137.5,60.9,-0.1,-0.0,51.8,90.0,0.38,2030.0,25.4,-22.0
6691,洋基工程,其他電子,816.44167168,50,營收加速+53pp、EPS+41%、PEG0.4,124.9,52.7,73.1,19.0,41.3,18.4,-1.3,37.6,18.5,54.0,0.45,619.0,11.7,-11.7
8110,華東,半導體,262.47907328,50,EPS+999%、毛利率↑、PEG0.0,18.3,7.1,7.4,15.3,999,8.0,5.3,0.0,8.0,0.0,0.01,43.54999923706055,-15.8,-49.0
