ticker,name,industry,tier,score100,base_upside,reward_risk,scenario_source,rank_score,weight
6669,緯穎,電腦及週邊,B,69.5,363.0,9.9,manual,124.2,10.0
8462,柏文,代碼37,A,79.0,232.0,9.9,auto,112.9,10.0
1736,喬山,代碼37,B,73.0,223.0,9.9,auto,107.0,10.0
3013,晟銘電,電腦及週邊,B,74.0,219.0,9.9,auto,106.7,10.0
6805,富世達,電子零組件,A,79.0,179.0,9.9,manual,99.7,10.0
2345,智邦,通信網路,A,82.0,138.0,9.9,manual,91.2,10.0
2330,台積電,半導體,A,89.0,111.0,9.9,manual,88.7,10.0
6782,視陽,生技醫療,A,81.5,125.0,9.9,manual,87.7,10.0
2546,根基,建材營造,B,74.5,112.0,9.9,auto,80.2,10.0
2421,建準,電子零組件,A,83.5,78.0,9.9,auto,77.1,10.0
