ticker,name,tier,refresh_priority,refresh_reason,fresh_evidence_count,evidence_coverage,stale_ratio
2360,致茂,A,7,論點覆蓋不足、缺2029E共識,4,0.33,0.0
8210,勤誠,A,7,論點覆蓋不足、缺2029E共識,3,0.33,0.0
2345,智邦,A,7,論點覆蓋不足、缺2029E共識,3,0.33,0.0
2368,金像電,A,7,論點覆蓋不足、缺2029E共識,3,0.33,0.0
6805,富世達,A,7,論點覆蓋不足、缺2029E共識,2,0.17,0.0
3013,晟銘電,B,6,論點覆蓋不足、來源過期,2,0.17,0.89
3665,貿聯-KY,B,6,論點覆蓋不足、缺2029E共識,3,0.17,0.0
3044,健鼎,B,6,論點覆蓋不足、缺2029E共識,2,0.17,0.0
6669,緯穎,B,6,論點覆蓋不足、缺2029E共識,3,0.17,0.0
2330,台積電,A,5,論點覆蓋不足,3,0.33,0.0
6197,佳必琪,A,5,論點覆蓋不足,3,0.33,0.0
6782,視陽,A,5,缺2029E共識,13,1.0,0.19
6442,光聖,A,5,論點覆蓋不足,2,0.33,0.0
1590,亞德客-KY,A,5,論點覆蓋不足,2,0.33,0.0
3617,碩天,A,5,論點覆蓋不足,2,0.17,0.0
6196,帆宣,A,5,論點覆蓋不足,2,0.17,0.0
6139,亞翔,A,5,缺2029E共識,9,0.83,0.25
2472,立隆電,A,5,論點覆蓋不足,2,0.33,0.0
2383,台光電,A,5,缺2029E共識,4,0.5,0.0
2059,川湖,B,4,論點覆蓋不足,3,0.33,0.0
2546,根基,B,4,論點覆蓋不足,2,0.17,0.0
6206,飛捷,B,4,論點覆蓋不足,2,0.17,0.0
6183,關貿,B,4,論點覆蓋不足,6,0.17,0.45
2421,建準,A,3,,8,0.67,0.5
6531,愛普*,A,3,,3,0.5,0.0
8462,柏文,A,3,,13,1.0,0.19
1736,喬山,B,2,,13,1.0,0.0
