# 美股持股：估值快照與出場線建議（資料至 2026-09-14）

> 出場線與台股同一套語言：週期股用 MA20 防守線、thesis 股用成本 -15% 災難線、小部位不設線。成本未補的先用 MA200 當體制線。**本表是建議，用戶拍板才生效；出場只看收盤。**

| 代號 | 主題 | 收盤 | 1日% | 20日% | 距52週高 | MA20 | MA60 | MA200 | PE(ttm) | PE(fwd) | 營收成長 | 目標均價(上檔) | 規則 | 出場線 | 距線 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| BTC 比特幣 ETF | 其他 | 34.69 | +1.6 | +24.7 | -38.0% | 33.73 | 29.9 | 32.96 | - | - | - | - | 小部位/其他 | - | - |
| GLW 康寧 | AI 硬體 | 145.98 | -12.3 | -12.1 | -46.3% | 154.14 | 168.41 | 145.82 | 67.58 | 33.56 | +17% | 194.31（+33%） | thesis 災難線 | 145.82 | +0.1% |
| GOOG Alphabet | 其他 | 342.19 | +2.0 | -0.4 | -15.4% | 337.97 | 345.8 | 335.71 | 17.17 | 23.01 | +24% | 422.34（+23%） | 小部位/其他 | - | - |
| HCA HCA 醫療 | 其他 | 424.2 | -0.6 | +4.8 | -23.8% | 416.1 | 402.57 | 450.34 | 14.23 | 13.25 | +9% | 451.48（+6%） | 小部位/其他 | - | - |
| INTC 英特爾 | AI 硬體 | 97.5 | -5.3 | -4.9 | -31.5% | 94.36 | 103.56 | 75.85 | - | 47.68 | +25% | 115.74（+19%） | thesis 災難線 | 75.85 | +28.5% |
| ITOCY 伊藤忠 ADR | 其他 | 15.18 | +0.9 | +17.6 | -1.1% | 13.61 | 12.55 | 12.65 | 18.29 | - | +9% | - | 小部位/其他 | - | - |
| KMB 金百利 | 其他 | 100.6 | +2.5 | -8.9 | -22.5% | 106.59 | 108.45 | 103.14 | 19.88 | 13.43 | +1% | 117.8（+17%） | 小部位/其他 | - | - |
| MARUY 丸紅 ADR | 其他 | 33.03 | -0.7 | +6.5 | -92.2% | 31.58 | 84.68 | 259.8 | 15.36 | 1.7 | +21% | 43.87（+33%） | 小部位/其他 | - | - |
| MITSY 三井物產 ADR | 其他 | 669.21 | +0.5 | +10.2 | -19.9% | 633.65 | 604.8 | 659.43 | 17.66 | 17.71 | +32% | 980.65（+46%） | 小部位/其他 | - | - |
| MU 美光 | 記憶體 | 916.1 | -6.1 | -5.7 | -27.0% | 960.03 | 957.83 | 625.53 | 20.69 | 5.87 | +346% | 1513.11（+65%） | 週期股防守線 | 960.03 ⚠️已破 | -4.6% |
| NVDA 輝達 | AI 硬體 | 211.68 | -3.0 | -6.0 | -10.5% | 219.49 | 210.67 | 197.62 | 26.79 | 13.6 | +106% | 327.18（+55%） | thesis 災難線 | 197.62 | +7.1% |
| PLTR Palantir | 其他 | 172.79 | +3.3 | -0.7 | -16.7% | 175.49 | 148.76 | 151.57 | 147.68 | 74.29 | +93% | 195.73（+13%） | 小部位/其他 | - | - |
| SKHY SK 海力士 ADR | 記憶體 | 175.61 | -7.6 | +5.6 | -12.1% | 168.72 | None | - | 10.35 | 5.18 | +257% | 248.43（+42%） | 週期股防守線 | 168.72 | +4.1% |
| SNDK Sandisk | 記憶體 | 1533.95 | -6.1 | -6.5 | -34.8% | 1596.77 | 1609.1 | 1040.21 | 20.78 | 5.79 | +372% | 2125.09（+38%） | 週期股防守線 | 1596.77 ⚠️已破 | -3.9% |
| TSLA 特斯拉 | 其他 | 362.46 | -0.8 | +5.9 | -27.3% | 356.14 | 361.04 | 398.65 | 329.51 | 167.92 | +26% | 390.09（+8%） | 小部位/其他 | - | - |
| TSM 台積電 ADR | AI 硬體 | 418.99 | -3.3 | -1.7 | -12.5% | 421.34 | 423.62 | 376.62 | 30.9 | 19.11 | +36% | 551.26（+32%） | thesis 災難線 | 376.62 | +11.3% |

說明：距線為正代表還在線上；「⚠️已破」= 最新收盤已低於建議線。記憶體三檔另列峰值回落 30% 價位：MU 878.5、SKHY 139.91、SNDK 1648.07

